2025-12-25 10:44:11,981 - INFO - Usage log: Node AA, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 472, 'total_tokens': 489, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.284745454788208}
2025-12-25 10:44:11,982 - INFO - Usage log: Node MBL主系统的13区域, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 475, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.33303284645080566}
2025-12-25 10:44:11,983 - INFO - Usage log: Node 245, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 476, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3355221748352051}
2025-12-25 10:44:11,984 - INFO - Usage log: Node 114, completion_usage: {'completion_tokens': 14, 'prompt_tokens': 472, 'total_tokens': 486, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2558724880218506}
2025-12-25 10:44:11,984 - INFO - Usage log: Node 测点SGC.CHANGXING_1.10LAE02CF101XQ01, completion_usage: {'completion_tokens': 22, 'prompt_tokens': 472, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.37036824226379395}
2025-12-25 10:44:11,985 - INFO - Usage log: Node 中压给水泵A非驱动端径向轴承座X向振动, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 480, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3101334571838379}
2025-12-25 10:44:11,986 - INFO - Usage log: Node LAB主系统的72区域, completion_usage: {'completion_tokens': 23, 'prompt_tokens': 472, 'total_tokens': 495, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3459758758544922}
2025-12-25 10:44:11,987 - INFO - Usage log: Node 凝结水泵A电流, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 458, 'total_tokens': 476, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.38082218170166016}
2025-12-25 10:44:11,987 - INFO - Usage log: Node Output Value, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 476, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.25238823890686035}
2025-12-25 10:44:11,987 - INFO - Usage log: Node SGC.CHUZHOU_2.02MBL13CP101XQ01, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 496, 'total_tokens': 515, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2742915153503418}
2025-12-25 10:44:11,988 - INFO - Usage log: Node 测点SGC.HEFEI_1.01LAC20BG114, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 484, 'total_tokens': 501, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.24691224098205566}
2025-12-25 10:44:11,989 - INFO - Usage log: Node 测点SGC.FENGQUAN_2.20MKY01EZ245XB01, completion_usage: {'completion_tokens': 22, 'prompt_tokens': 477, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.32257938385009766}
2025-12-25 10:44:11,990 - INFO - Usage log: Node 中压给水泵A驱动端径向轴承座Y向振动, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 479, 'total_tokens': 500, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2573661804199219}
