2025-12-25 15:31:42,078 - INFO - Usage log: Node 循环水泵2变频器柜电机电流, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 476, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2912166118621826}
2025-12-25 15:31:42,079 - INFO - Usage log: Node 061, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 454, 'total_tokens': 469, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.26184654235839844}
2025-12-25 15:31:42,079 - INFO - Usage log: Node 中压汽包连排电动调节阀, completion_usage: {'completion_tokens': 23, 'prompt_tokens': 483, 'total_tokens': 506, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.39426279067993164}
2025-12-25 15:31:42,080 - INFO - Usage log: Node 测点SGC.JIANGYIN_2.20MAD12CY011XQ01, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 475, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.29221272468566895}
2025-12-25 15:31:42,080 - INFO - Usage log: Node MAD 主系统, completion_usage: {'completion_tokens': 23, 'prompt_tokens': 484, 'total_tokens': 507, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3589189052581787}
2025-12-25 15:31:42,081 - INFO - Usage log: Node 100, completion_usage: {'completion_tokens': 12, 'prompt_tokens': 454, 'total_tokens': 466, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.22998666763305664}
2025-12-25 15:31:42,081 - INFO - Usage log: Node JIANGYIN_2 电厂, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 482, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27727842330932617}
2025-12-25 15:31:42,082 - INFO - Usage log: Node CT108, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 473, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30814266204833984}
2025-12-25 15:31:42,082 - INFO - Usage log: Node YB02, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 474, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30415987968444824}
2025-12-25 15:31:42,083 - INFO - Usage log: Node SGC.YIXING_1.10MAV21AP022YB02, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 470, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2956969738006592}
2025-12-25 15:31:42,083 - INFO - Usage log: Node 00 区域, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 460, 'total_tokens': 479, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2384495735168457}
2025-12-25 15:31:42,728 - INFO - Usage log: Node 设备 AA101, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 463, 'total_tokens': 483, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3176002502441406}
2025-12-25 15:31:42,729 - INFO - Usage log: Node 55 区域, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 461, 'total_tokens': 480, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3220810890197754}
2025-12-25 15:31:42,729 - INFO - Usage log: Node 113, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 454, 'total_tokens': 469, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2663259506225586}
2025-12-25 15:31:42,730 - INFO - Usage log: Node EZ, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 451, 'total_tokens': 467, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.29221272468566895}
2025-12-25 15:31:42,731 - INFO - Usage log: Node DANYANG_2.21MBV30CP901XG02, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 466, 'total_tokens': 485, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.32158350944519043}
2025-12-25 15:31:42,731 - INFO - Usage log: Node SGC.DANYANG_2.20MAY10EC001_ESVCLSD, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 470, 'total_tokens': 485, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2573661804199219}
2025-12-25 15:31:42,732 - INFO - Usage log: Node 10 号机组, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 476, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3031642436981201}
2025-12-25 15:31:42,733 - INFO - Usage log: Node °, completion_usage: {'completion_tokens': 11, 'prompt_tokens': 472, 'total_tokens': 483, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.20907902717590332}
2025-12-25 15:31:42,733 - INFO - Usage log: Node 01 区域, completion_usage: {'completion_tokens': 24, 'prompt_tokens': 477, 'total_tokens': 501, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.34746885299682617}
2025-12-25 15:31:42,734 - INFO - Usage log: Node CY, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 473, 'total_tokens': 489, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2598555088043213}
2025-12-25 15:31:42,734 - INFO - Usage log: Node COOL. AIR FLAP 2 STAGE 2 CONTROL, completion_usage: {'completion_tokens': 24, 'prompt_tokens': 481, 'total_tokens': 505, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3429892063140869}
2025-12-25 15:31:42,735 - INFO - Usage log: Node 设备 EZ245, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 477, 'total_tokens': 497, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3086402416229248}
2025-12-25 15:31:42,736 - INFO - Usage log: Node SIHUI_2 电厂, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 474, 'total_tokens': 495, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.29868435859680176}
2025-12-25 15:31:42,736 - INFO - Usage log: Node 26 区域, completion_usage: {'completion_tokens': 24, 'prompt_tokens': 479, 'total_tokens': 503, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3230774402618408}
2025-12-25 15:31:42,737 - INFO - Usage log: Node BG, completion_usage: {'completion_tokens': 14, 'prompt_tokens': 451, 'total_tokens': 465, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2598555088043213}
2025-12-25 15:31:42,737 - INFO - Usage log: Node DU, completion_usage: {'completion_tokens': 13, 'prompt_tokens': 451, 'total_tokens': 464, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.21803951263427734}
2025-12-25 15:31:43,375 - INFO - Usage log: Node 循环水泵2变频器柜电机电压, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 476, 'total_tokens': 497, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3336496353149414}
2025-12-25 15:31:43,376 - INFO - Usage log: Node CJA 主系统, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 460, 'total_tokens': 476, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2953183650970459}
2025-12-25 15:31:43,377 - INFO - Usage log: Node SGC.CHUZHOU_1.10MBY10DU061XQ01, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 475, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3246896266937256}
2025-12-25 15:31:43,377 - INFO - Usage log: Node MBA 主系统, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 478, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.364016056060791}
2025-12-25 15:31:43,378 - INFO - Usage log: Node CHUZHOU_1 电厂, completion_usage: {'completion_tokens': 23, 'prompt_tokens': 481, 'total_tokens': 504, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3679983615875244}
2025-12-25 15:31:43,379 - INFO - Usage log: Node 测点SGC.YIXING_1.10MAV21AP022YB02, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 473, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3391261100769043}
2025-12-25 15:31:43,379 - INFO - Usage log: Node SGC.HEFEI_2.02PAC01UC020XQ01, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 484, 'total_tokens': 501, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3017895221710205}
2025-12-25 15:31:43,380 - INFO - Usage log: Node 10MAD13CT014A232203OUT, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 494, 'total_tokens': 512, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3122439384460449}
2025-12-25 15:31:43,381 - INFO - Usage log: Node CF, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 451, 'total_tokens': 466, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2718026638031006}
2025-12-25 15:31:43,382 - INFO - Usage log: Node 20 号机组, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 464, 'total_tokens': 481, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.26533079147338867}
2025-12-25 15:31:43,382 - INFO - Usage log: Node 中压给水泵A驱动端径向轴承座Y向振动, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 479, 'total_tokens': 500, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30913829803466797}
2025-12-25 15:31:43,383 - INFO - Usage log: Node 001, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 474, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28424763679504395}
2025-12-25 15:31:43,383 - INFO - Usage log: Node 10MBH22AA102XC91, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 485, 'total_tokens': 503, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2782738208770752}
